front,name,funkyNormal,price,link,comment
/tfwc/assets/wines/bianco-dritto_orange_75_ccmelb.png,Bianco Dritto,funky,75,https://www.instagram.com/ccmelbourne/,orange fresh coolgirl
/tfwc/assets/wines/verde_whiteNATURAL_29_blacksparrow.png,Verde Semillon,funky,29,https://www.blackheartsandsparrows.com.au/products/37689/pool-wines-verde-semillon-2024,orange dinner w the girls
/tfwc/assets/wines/littleReddie_white_14_35_goodM.png,Little reddie,normal,35,https://www.instagram.com/goodmeasuremelbourne/,white easy music
/tfwc/assets/wines/acidacid_earthAngels.png,ACIDACID,funky,70,https://www.earthangels.bar/,cool date vibes
/tfwc/assets/wines/WhipWines_whiteNatural_32_crookedDr.png,Whip Wines White,funky,32,https://crookeddrinks.com.au/products/whip-wines-white?variant=45061912854755,natural funky fresh
/tfwc/assets/wines/ifonly_whiteNatural_40_CrookedDrinks.png,ifonlymaybe,funky,40,https://crookeddrinks.com.au/collections/white-wine/products/momento-mori-everything-is-free-nero-d-avola-moscato-giallo-2022-copy?variant=45563198439651,orangecello grapefruit soda
/tfwc/assets/wines/meredith_whiteNatural_34_CrookedDrinks.png,Meredith,funky,34,https://crookeddrinks.com.au/collections/white-wine/products/meredith-by-mem-carry-the-one-chenin-blanc?variant=45061910528227,martini with a lemon twist
/tfwc/assets/wines/minim_whiteNatural_43_CrookedDrinks.png,Minim Wines,funky,43,https://crookeddrinks.com.au/collections/white-wine/products/minim-wines-xo-riesling?variant=45061910855907,pear blossom slaps
/tfwc/assets/wines/ocean_naturalWhite_52_CrookedDrinks.png,Aunt Aliceocean,funky,52,https://crookeddrinks.com.au/collections/white-wine/products/aunt-alice-ocean-chardonnay?variant=45061907349731,mysterious grapefruit bread
/tfwc/assets/wines/paleBlueEyes_whiteNatural_43_CrookedDrinks.png,Defialy Pale Blue Eyes,funky,43,https://crookeddrinks.com.au/collections/white-wine/products/defialy-pale-blue-eyes-savagnin-2023?variant=45589300904163,decorative yeasty boy
/tfwc/assets/wines/Pizzini_redNatural_65_dm.png,Pizzini Il Barone,normal,65,https://www.danmurphys.com.au/product/DM_456943/pizzini-il-barone?isFromSearch=true&isPersonalised=false&isSponsored=false&state=12&pageName=category_page,hot people buy this
/tfwc/assets/wines/pizzini_white_26_dm.png,Pizzini Arneis,normal,26,https://www.danmurphys.com.au/product/DM_908056/pizzini-arneis?isFromSearch=true&isPersonalised=false&isSponsored=false&state=3&pageName=category_page,crisp apple good time
/tfwc/assets/wines/rockygully_white_26_blackSparrow.png,Frankland Estate Rocky Gully Riesling,normal,26,https://www.blackheartsandsparrows.com.au/products/2148/frankland-estate-rocky-gully-riesling-2024,classic minimalist hot date
/tfwc/assets/wines/werksatt_white_38_CrookedDrinks.png,Werkstatt Riesling,normal,38,https://crookeddrinks.com.au/collections/white-wine/products/worlds-apart-in-the-flowers-riesling-2023-copy?variant=45589175271651,sound of music liquid
/tfwc/assets/wines/bowlers_white_3_5_dm.png,Bowlersrunsemillonsauvignonblanc,normal,3.5,https://www.danmurphys.com.au/product/DM_342073/bowler-s-run-semillon-sauvignon-blanc?isFromSearch=true&isPersonalised=false&isSponsored=false&state=5&pageName=category_page,ugly budget gold
/tfwc/assets/wines/bowlers_red_3_5_dm.png,Bowlersrunmerlot,normal,3.5,https://www.danmurphys.com.au/product/DM_330324/bowler-s-run-cabernet-merlot?isFromSearch=true&isPersonalised=false&isSponsored=false&state=6&pageName=category_page,ugly budget ruby
/tfwc/assets/wines/mojo03_red_20_liqland.png,Mojo03,normal,20,https://www.liquorland.com.au/red-wine/mojo-cabernet-sauvignon-750ml_3855151,basic drink w girls
/tfwc/assets/wines/tempranillo_red_19_dm.png,Brown Brothers Refreshing Tempranillo,normal,19,https://www.danmurphys.com.au/product/DM_260638/brown-brothers-refreshing-tempranillo?isFromSearch=false&isPersonalised=false&isSponsored=false&state=33&pageName=member_offers,in an experimental phase
/tfwc/assets/wines/fringeGrenache_white_24_somall.png,Grenache Blanc,normal,24,https://sometimesalways.com.au/products/fringe-societe-grenache-blanc-2022?_pos=4&_fid=5158aee2c&_ss=c,playful flamboyant sunbathing in the park
/tfwc/assets/wines/FringeRose_rose_24_somall.png,Fringe Societe Rose,normal,24,https://sometimesalways.com.au/products/fringe-societe-rose-2021?_pos=5&_fid=9af69cd3f&_ss=c,flamboyant progressive summer day
/tfwc/assets/wines/FinNotTooBadVermentino_white_30_blacksparrow.png,Fin Not Too Bad Vermentino,normal,30,https://www.blackheartsandsparrows.com.au/products/33345/fin-not-too-bad-vermentino-2023,fresh and zippy cool and fun
/tfwc/assets/wines/SagonaVinotte_rose_51_blacksparrow.png,Sagona Vinotte Malvasia Trebbiano 2023,normal,51,https://www.blackheartsandsparrows.com.au/products/38166/sagona-vinotte-malvasia-trebbiano-2023,italian grippy summer afternoon
/tfwc/assets/wines/Cramele_NaturalWhite_24_blacksparrow.png,Cramele Recaş Solara Orange 2022,funky,24,https://www.blackheartsandsparrows.com.au/products/26274/recas-solara-orange-2021,spicy orange blossoms in the sunset
/tfwc/assets/wines/scPanell_white_33_blacksparrow.png,Sc Pannell Protero  Pinots  2023,normal,33,https://www.blackheartsandsparrows.com.au/products/36587/sc-pannell-protero--pinots--2023,venician pale pasta dream dinner with the girls
/tfwc/assets/wines/bistroShiraz_red_25_blacksparrow.png,BISTRO Shiraz 2022,normal,25,https://www.blackheartsandsparrows.com.au/products/36676/bistro-shiraz-2022,australian francophile stuck in the yarra valley
/tfwc/assets/wines/acmeGamay_red_36_somAll.png,Adelaide Hills Gamay 2024,normal,36,https://sometimesalways.com.au/products/acme-vineyard-adelaide-hills-gamay-2024?_pos=78&_fid=359c3342e&_ss=c,very mindful very demure
/tfwc/assets/wines/Fresco_red_30_somAll.png,Fresco Nebbiolo / Barbera / Dolcetto / Pinot Nero 2022,normal,30,https://sometimesalways.com.au/products/longview-fresco-nebbiolo-barbera-dolcetto-pinot-nero-2022?_pos=27&_fid=359c3342e&_ss=c,tall dark handsome italian
/tfwc/assets/wines/LazarusRipassoRosso_red_30_somAll.png,Lazarus Ripasso Rosso NV,normal,30,https://sometimesalways.com.au/products/alpha-box-dice-lazarus-ripasso-rosso-nv?_pos=28&_fid=359c3342e&_ss=c,cult classic dinner star
/tfwc/assets/wines/NakedGarganega_white_35_somAll.png,Naked Garganega 2021,normal,35,https://sometimesalways.com.au/products/gargunda-naked-garganega-2021?_pos=45&_fid=5158aee2c&_ss=c,light and racy little sprite
/tfwc/assets/wines/xOff_white_36_somAll.png,X Off-Dry Riesling 2024,normal,36,https://sometimesalways.com.au/products/alpha-box-dice-x-off-dry-riesling-2024?_pos=50&_fid=5158aee2c&_ss=c,a cutesy sweet little kiss
/tfwc/assets/wines/wendyChard_NaturalWhite_32_somAll.png,Wendy Chardonnay 2024,funky,32,https://sometimesalways.com.au/products/alpha-box-dice-wendy-chardonnay-2024?_pos=31&_fid=5158aee2c&_ss=c,dinner at wendys
/tfwc/assets/wines/ValtellinaSuperiore_red_115_somAll.png,Valtellina Superiore Inferno Fiamme Antiche Nebbiolo 2019,normal,180,https://sometimesalways.com.au/products/ar-pe-pe-valtellina-superiore-inferno-fiamme-antiche-2019,a real softie with a hard shell but heart of gold
/tfwc/assets/wines/ValtellinaSuperiorGrumello_red_180_somAll.png,Valtellina Superior Grumello Ris Sant'Antonio Nebbiolo 2016,normal,180,https://sometimesalways.com.au/products/ar-pe-pe-valtellina-superior-grumello-ris-santantonio-nebbiolo-2016,bougie bright and jucy for the big leagues
/tfwc/assets/wines/FringeSociete_red_23_dm.png,Fringe Societe Gamay,normal,24,https://www.danmurphys.com.au/product/DM_138877/fringe-societe-gamay?isFromSearch=true&isPersonalised=false&isSponsored=false&state=1&pageName=category_page,lively dinner in north melbourne
/tfwc/assets/wines/delpopolo_NaturalRed_23_somAll.png,Del Popolo Rosso Blend 2021,funky,23,https://sometimesalways.com.au/products/minimum-wine-del-popolo-rosso-blend-2021,cheap but authentic yummy italian
/tfwc/assets/wines/delpopolo_NaturalWhite_23_somAll.png,Del Popolo Bianco Blend 2022,funky,23,https://sometimesalways.com.au/products/minimum-wine-del-popolo-bianco-blend-2022,almost orange italian gringo
